simulation_id,node_id,node_type,value_initial,value_final,value_max,value_min,value_mean,rate_final
44,grado_I,degree,0.0,1680.0,1680.0,0.0,1012.4098360655738,0.3563852354688163
44,grado_II,degree,0.0,1847.0,1847.0,0.0,1102.0819672131147,0.3918116249469665
44,grado_III,degree,0.0,1187.0,1187.0,0.0,720.8360655737705,0.25180313958421724
44,teleasistencia,benefit,0.0,811.0,811.0,0.0,425.37704918032784,0.28677510608203677
44,ayuda_domicilio,benefit,0.0,629.0,629.0,0.0,336.655737704918,0.2224186704384724
44,atencion_residencial,benefit,0.0,254.0,254.0,0.0,135.88524590163934,0.08981612446958982
44,cuidados_familiares,benefit,0.0,1134.0,1134.0,0.0,602.1639344262295,0.400990099009901
45,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
45,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
45,no_solicitantes,administrative_state,6387.0,908.0,6387.0,908.0,2794.6065573770493,0.1421637701581337
45,pendiente_grado,administrative_state,0.0,208.0,871.0,0.0,510.1967213114754,0.0325661499921716
45,sin_grado,administrative_state,0.0,732.0,732.0,0.0,439.59016393442624,0.11460779708783467
45,con_derecho,administrative_state,0.0,165.0,531.0,0.0,328.8032786885246,0.025833724753405354
45,con_pia,administrative_state,0.0,37.0,128.0,0.0,71.70491803278688,0.00579301706591514
45,prestacion_efectiva,administrative_state,0.0,2937.0,2937.0,0.0,1505.295081967213,0.4598403006106153
45,lista_espera,administrative_state,0.0,1400.0,1400.0,0.0,736.8032786885246,0.21919524033192422
45,grado_I,degree,0.0,1581.0,1581.0,0.0,924.8360655737705,0.34831460674157305
45,grado_II,degree,0.0,1781.0,1781.0,0.0,1040.0,0.3923771755893369
45,grado_III,degree,0.0,1177.0,1177.0,0.0,677.7704918032787,0.2593082176690901
45,teleasistencia,benefit,0.0,982.0,982.0,0.0,512.1803278688525,0.33435478379298605
45,ayuda_domicilio,benefit,0.0,572.0,572.0,0.0,296.7049180327869,0.1947565543071161
45,atencion_residencial,benefit,0.0,300.0,300.0,0.0,143.5737704918033,0.10214504596527069
45,cuidados_familiares,benefit,0.0,1083.0,1083.0,0.0,552.8360655737705,0.3687436159346272
46,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
46,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
46,no_solicitantes,administrative_state,6387.0,815.0,6387.0,815.0,2720.0819672131147,0.1276029434789416
46,pendiente_grado,administrative_state,0.0,216.0,900.0,0.0,521.8196721311475,0.033818694222639736
46,sin_grado,administrative_state,0.0,745.0,745.0,0.0,427.9836065573771,0.11664318146234538
46,con_derecho,administrative_state,0.0,148.0,558.0,0.0,321.8032786885246,0.02317206826366056
46,con_pia,administrative_state,0.0,35.0,139.0,0.0,73.1639344262295,0.005479881008298106
46,prestacion_efectiva,administrative_state,0.0,3119.0,3119.0,0.0,1637.7377049180327,0.48833568185376547
46,lista_espera,administrative_state,0.0,1309.0,1309.0,0.0,684.4098360655738,0.20494754971034915
46,grado_I,degree,0.0,1672.0,1672.0,0.0,973.2459016393443,0.3626111472565604
46,grado_II,degree,0.0,1722.0,1722.0,0.0,1014.9344262295082,0.3734547820429408
46,grado_III,degree,0.0,1217.0,1217.0,0.0,728.9344262295082,0.2639340707004988
46,teleasistencia,benefit,0.0,954.0,954.0,0.0,514.688524590164,0.30586726514908624
46,ayuda_domicilio,benefit,0.0,771.0,771.0,0.0,401.2950819672131,0.2471946136582238
46,atencion_residencial,benefit,0.0,324.0,324.0,0.0,168.0327868852459,0.1038794485411991
46,cuidados_familiares,benefit,0.0,1070.0,1070.0,0.0,553.7213114754098,0.34305867265149087
47,sistema,system,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
47,vulnerables,population,6387.0,6387.0,6387.0,6387.0,6387.0,1.0
47,no_solicitantes,administrative_state,6387.0,898.0,6387.0,898.0,2817.344262295082,0.14059808987004854
47,pendiente_grado,administrative_state,0.0,219.0,789.0,0.0,475.0327868852459,0.03428839830906529
47,sin_grado,administrative_state,0.0,661.0,661.0,0.0,397.4754098360656,0.10349146704242994
47,con_derecho,administrative_state,0.0,165.0,567.0,0.0,354.5245901639344,0.025833724753405354
47,con_pia,administrative_state,0.0,31.0,133.0,0.0,72.85245901639344,0.0048536088930640365
47,prestacion_efectiva,administrative_state,0.0,3282.0,3282.0,0.0,1700.0983606557377,0.5138562705495537
